first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
camant,cemant,rs,cam,,ant,camant,target,r,,1,a,e,cemant,1,6
tronarispique,tronarispique,rsss,tron,,ar_ist_ique,tronaristique,target,s,1.0,2,t,p,tronarispique,2,13
méllasitaoin,méllasitaoin,rssss,mél,,la_si_ta_oin,méllasitaoin,control,r,,0,m,r,réllasitaoin,0,12
gilout,gilouq,r_long,gilout,,,gilout,target,r,,5,t,q,gilouq,1,6
poruliftan,peruliftan,prs,lif,poru,tan,poruliftan,control,p,0.0,1,o,e,peruliftan,1,10
erédluud,erédloud,ppr,loud,er_éd,,erédloud,control,r,,1,o,u,erédluud,3,8
rastaoinlaisem,nastaoinlaisem,rssss,nas,,ta_oin_la_isem,nastaoinlaisem,control,r,,0,n,r,rastaoinlaisem,3,14
rounarienemt,rounarienemt,rss,roun,,arie_nemt,rounarienemt,control,r,,0,r,l,lounarienemt,0,12
tienous,tienous,r_long,tienoub,,,tienoub,control,r,,6,b,s,tienous,2,7
précamiquelent,précamiquement,prss,cam,pré,ique_ment,précamiquement,target,s,1.0,0,m,l,précamiquelent,3,14
pourjaunant,pourjaunanq,prs,jaun,pour,ant,pourjaunant,target,s,0.0,2,t,q,pourjaunanq,1,11
foiral,foirul,rs,foir,,al,foiral,target,s,0.0,0,a,u,foirul,1,6
tounecnamt,tounecnemt,rs_long,tounec,,nemt,tounecnemt,control,s,0.0,1,e,a,tounecnamt,3,10
rounna,rounna,rs,roun,,la,rounla,control,s,0.0,0,l,n,rounna,2,6
éstroctaoinlaisem,édtroctaoinlaisem,prssss,troc,éd,ta_oin_la_isem,édtroctaoinlaisem,control,p,0.0,1,d,s,éstroctaoinlaisem,3,17
miréptôlctaoin,miréptôlctaoin,pprss,tôlc,mi_rép,ta_oin,miréptôlctaoin,control,s,1.0,2,n,m,miréptôlctaoim,0,14
imprédoulatoon,imprédoulatoon,pprss,doul,im_pré,at_ion,imprédoulation,target,s,1.0,0,i,o,imprédoulatoon,2,14
inlémistiquement,inlémistiquement,prsss,lém,in,ist_ique_ment,inlémistiquement,target,r,,0,l,n,innémistiquement,0,16
erlofautnemt,enlofautnemt,prs_long,lofaut,er,nemt,erlofautnemt,control,p,0.0,1,r,n,enlofautnemt,1,12
reptrecoin,reptrecoin,prs,trec,rép,oin,réptrecoin,control,p,0.0,1,é,e,reptrecoin,2,10
tysjaun,tysjaun,pr,jaun,dys,,dysjaun,target,p,0.0,0,d,t,tysjaun,2,7
sarjur,sarjur,pr,jur,sur,,surjur,target,p,0.0,1,u,a,sarjur,2,6
netioctan,nutioctan,prs,tioc,ne,tan,netioctan,control,p,0.0,1,e,u,nutioctan,1,9
miréprujtaoin,miroprujtaoin,pprss,ruj,mi_rép,ta_oin,miréprujtaoin,control,p,1.0,1,é,o,miroprujtaoin,1,13
fadlatiasoin,fodlatiasoin,rsss,fod,,la_tias_oin,fodlatiasoin,control,r,,1,o,a,fadlatiasoin,3,12
rusmac,rusmas,pr,mac,rus,,rusmac,control,r,,2,c,s,rusmas,1,6
imprédiotadion,imprédiotadion,pprss,diot,im_pré,at_ion,imprédiotation,target,s,0.0,1,t,d,imprédiotadion,2,14
dic,dic,r,dic,,,dic,target,r,,0,d,s,sic,0,3
snelment,snalment,rs,snal,,ment,snalment,target,r,,2,a,e,snelment,3,8
dédiralisation,dédéralisation,prssss,dir,dé,al_is_at_ion,dédiralisation,target,r,,1,i,é,dédéralisation,1,14
decalisation,dicalisation,rssss,dic,,al_is_at_ion,dicalisation,target,r,,1,i,e,decalisation,3,12
répédtioc,répédtioc,ppr,tioc,rép_éd,,répédtioc,control,r,,0,t,g,répédgioc,0,9
fililisation,filalisation,rsss,fil,,al_isat_ion,filalisation,target,s,0.0,0,a,i,fililisation,3,12
chévaalisme,chévaalisme,rs_long,chévaul,,isme,chévaulisme,target,r,,5,u,a,chévaalisme,2,11
elédsurc,elédsurc,ppr,surc,er_éd,,erédsurc,control,p,0.0,1,r,l,elédsurc,2,8
fodnemt,fodremt,rs,fod,,nemt,fodnemt,control,s,0.0,0,n,r,fodremt,1,7
imfoiralité,infoiralité,prss,foir,in,al_ité,infoiralité,target,p,0.0,1,n,m,imfoiralité,3,11
édsirclasitaoin,édsirclasitaoin,prssss,surc,éd,la_si_ta_oin,édsurclasitaoin,control,r,,1,u,i,édsirclasitaoin,2,15
chévaul,chévaul,r_long,chévaul,,,chévaul,target,r,,4,a,e,chéveul,0,7
léptôlcequinemt,léptôlcequinemt,prss,tôlc,rép,equi_nemt,réptôlcequinemt,control,p,0.0,0,r,l,léptôlcequinemt,2,15
tuubienment,tuubienment,rs_long,toubien,,ment,toubienment,target,r,,1,o,u,tuubienment,2,11
respécolment,respécolment,prs_long,spécol,re,ment,respécolment,target,s,0.0,1,e,é,respécolmént,0,12
subbulinatien,subbulination,prsss,bul,sub,in_at_ion,subbulination,target,s,2.0,1,o,e,subbulinatien,3,13
trancoloud,trancoloud,pr,loud,trenco,,trencoloud,control,p,0.0,2,e,a,trancoloud,2,10
miréprounalbe,miréplounalbe,pprs,roun,mi_rép,albe,miréprounalbe,control,r,,0,r,l,miréplounalbe,1,13
riènnatiasoin,riènnatiasoin,rsss,rièn,,na_tias_oin,riènnatiasoin,control,s,2.0,2,n,r,riènnatiasoir,0,13
redédoir,redéfoir,ppr,foir,re_dé,,redéfoir,target,r,,0,f,d,redédoir,3,8
désinfiler,désirfiler,pprs,fil,dés_in,er,désinfiler,target,p,1.0,1,n,r,désirfiler,1,10
raif,raif,r,roif,,,roif,control,r,,1,o,a,raif,2,4
trévationalisme,trévationalisme,rssss,trév,,at_ion_al_isme,trévationalisme,target,s,3.0,0,i,o,trévationalosme,0,15
insalitésimél,insalitésimél,prsss,sal,in,ité_sim_al,insalitésimal,target,s,2.0,0,a,é,insalitésimél,2,13
riroqualbenemt,rinoqualbenemt,prss,roqu,ri,albe_nemt,riroqualbenemt,control,r,,0,r,n,rinoqualbenemt,1,14
prédécert,trédécert,ppr,cert,pré_dé,,prédécert,target,p,0.0,0,p,t,trédécert,1,9
impréjaunable,impréjaulable,pprs,jaun,im_pré,able,impréjaunable,target,r,,3,n,l,impréjaulable,1,13
énlémant,énlémant,prs,lém,en,ant,enlémant,target,p,0.0,0,e,é,énlémant,2,8
retésan,redésan,ppr,san,re_dé,,redésan,target,p,1.0,0,d,t,retésan,3,7
tanigauntàr,tanigauntàr,pr_long,gauntir,tani,,tanigauntir,control,r,,5,i,à,tanigauntàr,2,11
surcalbenert,surcalbenert,rss,surc,,albe_nemt,surcalbenemt,control,s,1.0,2,m,r,surcalbenert,2,12
buslifnitaoin,tuslifnitaoin,prsss,lif,bus,ni_ta_oin,buslifnitaoin,control,p,0.0,0,b,t,tuslifnitaoin,1,13
sédniridme,sédniridme,pprs,rid,séd_ni,re,sédniridre,control,s,0.0,0,r,m,sédniridme,2,10
bul,tul,r,bul,,,bul,target,r,,0,b,t,tul,1,3
défoiralisation,défoimalisation,prssss,foir,dé,al_is_at_ion,défoiralisation,target,r,,3,r,m,défoimalisation,1,15
antichetel,antichatel,pr_long,chetel,anti,,antichetel,target,r,,2,e,a,antichatel,1,10
loidrasitequi,loudrasitequi,rsss,loud,,ra_sit_equi,loudrasitequi,control,r,,2,u,i,loidrasitequi,3,13
daukiniser,daukiniser,rs_long,daukin,,isem,daukinisem,control,s,0.0,3,m,r,daukiniser,2,10
miréptrictaoin,miréptrictaoin,pprss,troc,mi_rép,ta_oin,miréptroctaoin,control,r,,2,o,i,miréptrictaoin,2,14
ridtaoinlaisem,ridtaoinlausem,rssss,rid,,ta_oin_la_isem,ridtaoinlaisem,control,s,3.0,0,i,u,ridtaoinlausem,1,14
tronanisation,tronanusation,rsss,tron,,an_isat_ion,tronanisation,target,s,1.0,0,i,u,tronanusation,1,13
joudelanemt,loudelanemt,rss,loud,,ela_nemt,loudelanemt,control,r,,0,l,j,joudelanemt,3,11
diraliment,diralement,rss,dir,,ale_ment,diralement,target,s,0.0,2,e,i,diraliment,3,10
désalacionalisme,désalacionalisme,prssss,sal,dé,at_ion_al_isme,désalationalisme,target,s,0.0,1,t,c,désalacionalisme,2,16
toidnat,voidnat,rs,toid,,nat,toidnat,control,r,,0,t,v,voidnat,1,7
lèrcom,lèrcom,r_long,lèrcom,,,lèrcom,control,r,,4,o,u,lèrcum,0,6
insalablement,insalablement,prss,sal,in,able_ment,insalablement,target,s,0.0,3,e,i,insalabliment,0,13
