first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
impunita,impunité,prs,im,pun,ité,impunité,target,s,0.0,2,é,a,impunita,3,8
afcessoire,accessoire,r,,accessoire,,accessoire,control,r,,1,c,f,afcessoire,3,10
catastrophe,catastrophe,r,,catastrophe,,catastrophe,control,r,,10,e,u,catastrophu,0,11
eucalyptus,eucalyptus,r,,eucalyptus,,eucalyptus,control,r,,7,t,s,eucalypsus,0,10
chicuenaude,chicuenaude,r,,chiquenaude,,chiquenaude,control,r,,3,q,c,chicuenaude,2,11
habitacle,habitasle,r,,habitacle,,habitacle,control,r,,6,c,s,habitasle,1,9
ablacadabra,abracadabra,r,,abracadabra,,abracadabra,control,r,,2,r,l,ablacadabra,3,11
désaccord,désaccord,pr_long,dés,accord,,désaccord,target,r,,4,r,l,désaccold,0,9
immortalité,ammortalité,prss,im,mort,al_ité,immortalité,target,p,0.0,0,i,a,ammortalité,1,11
brigode,brigode,r,,brigade,,brigade,control,r,,4,a,o,brigode,2,7
toralité,toralité,rss,,ton,al_ité,tonalité,target,r,,2,n,r,toralité,2,8
leeutenant,leeutenant,r,,lieutenant,,lieutenant,control,r,,1,i,e,leeutenant,2,10
terrain,terrain,rs,,terr,ain,terrain,target,s,0.0,0,a,u,terruin,0,7
manigance,manigande,r,,manigance,,manigance,control,r,,7,c,d,manigande,1,9
harmorica,harmorica,r,,harmonica,,harmonica,control,r,,5,n,r,harmorica,2,9
poisson,poisson,r,,poisson,,poisson,control,r,,4,s,t,poiston,0,7
prilevère,primevère,r,,primevère,,primevère,control,r,,3,m,l,prilevère,3,9
suicide,suicide,r,,suicide,,suicide,control,r,,3,c,t,suitide,0,7
onaudible,onaudible,prs_long,in,aud,ible,inaudible,target,p,0.0,0,i,o,onaudible,2,9
incurtain,incurtain,prs_long,in,cert,ain,incertain,target,r,,1,e,u,incurtain,2,9
piscine,piscune,r,,piscine,,piscine,control,r,,4,i,u,piscune,1,7
turnom,turnom,pr,sur,nom,,surnom,target,p,0.0,0,s,t,turnom,2,6
diaphnagme,diaphnagme,r,,diaphragme,,diaphragme,control,r,,5,r,n,diaphnagme,2,10
passager,pussager,rss,,pass,ag_er,passager,target,r,,1,a,u,pussager,1,8
jamais,mamais,r,,jamais,,jamais,control,r,,0,j,m,mamais,1,6
invisible,invisiblé,prs_long,in,vis,ible,invisible,target,s,0.0,3,e,é,invisiblé,1,9
escarmoushe,escarmoushe,r,,escarmouche,,escarmouche,control,r,,8,c,s,escarmoushe,2,11
refaire,refaire,pr,re,faire,,refaire,target,r,,4,e,i,refairi,0,7
insonorité,insenorité,prss,in,son,or_ité,insonorité,target,r,,1,o,e,insenorité,1,10
remet,remet,pr,re,met,,remet,target,r,,2,t,d,remed,0,5
ilfinie,infinie,prs,in,fin,ie,infinie,target,p,0.0,1,n,l,ilfinie,3,7
orvhestre,orchestre,r,,orchestre,,orchestre,control,r,,2,c,v,orvhestre,3,9
apocalypse,apocalypsa,r,,apocalypse,,apocalypse,control,r,,9,e,a,apocalypsa,1,10
activacion,activation,rsss,,act,iv_at_ion,activation,target,s,1.0,1,t,c,activacion,3,10
différent,différent,rs_long,,différ,ent,différent,target,r,,4,é,o,difforent,0,9
prestige,prestige,r,,prestige,,prestige,control,r,,6,g,c,prestice,0,8
grade,grade,r,,grade,,grade,control,r,,2,a,e,grede,0,5
imprévu,ilprévu,ppr,im_pré,vu,,imprévu,target,p,0.0,1,m,l,ilprévu,1,7
entrejambe,entrejambe,pr_long,entre,jambe,,entrejambe,target,p,0.0,4,e,o,entrojambe,0,10
découverte,pécouverte,pr_long,dé,couverte,,découverte,target,p,0.0,0,d,p,pécouverte,1,10
hâtaf,hâtif,rs,,hât,if,hâtif,target,s,0.0,0,i,a,hâtaf,3,5
crêmoisi,crêmoisi,r,,cramoisi,,cramoisi,control,r,,2,a,ê,crêmoisi,2,8
quartier,quartier,rs,,quart,ier,quartier,target,s,0.0,2,r,n,quartien,0,8
réalisation,réalisation,rsss,,réal,is_at_ion,réalisation,target,s,1.0,1,t,p,réalisapion,0,11
