first,second,morphemes,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength
conbillard,corbillard,r,,corbillard,,corbillard,control,r,,2,r,n,conbillard,3,10
brato,bravo,r,,bravo,,bravo,control,r,,3,v,t,brato,3,5
pamchemin,parchemin,r,,parchemin,,parchemin,control,r,,2,r,m,pamchemin,3,9
réalisation,réalisation,rsss,,réal,is_at_ion,réalisation,target,r,,0,r,j,jéalisation,0,11
orchestme,orchestre,r,,orchestre,,orchestre,control,r,,7,r,m,orchestme,3,9
insonorité,insonorité,prss,in,son,or_ité,insonorité,target,r,,1,o,e,insenorité,0,10
elvol,envol,pr,en,vol,,envol,target,p,0.0,1,n,l,elvol,3,5
surenchère,surenchère,ppr,sur_en,chère,,surenchère,target,r,,4,e,i,surenchèri,0,10
eucalyptus,euhalyptus,r,,eucalyptus,,eucalyptus,control,r,,2,c,h,euhalyptus,1,10
formalité,formalipé,rss,,form,al_ité,formalité,target,s,1.0,1,t,p,formalipé,1,9
interphene,interphene,pr_long,inter,phone,,interphone,target,r,,2,o,e,interphene,2,10
imprévu,imprévu,ppr,im_pré,vu,,imprévu,target,r,,0,v,t,imprétu,0,7
personnen,personnen,rs_long,,personn,el,personnel,target,s,0.0,1,l,n,personnen,2,9
illégal,illégal,pr,il,légal,,illégal,target,p,0.0,1,l,m,imlégal,0,7
artise,artise,rs,,art,ise,artise,target,r,,2,t,s,arsise,0,6
redéfaire,medéfaire,ppr,re_dé,faire,,redéfaire,target,p,0.0,0,r,m,medéfaire,1,9
bourril,bourrin,r,,bourrin,,bourrin,control,r,,6,n,l,bourril,3,7
catastlophe,catastlophe,r,,catastrophe,,catastrophe,control,r,,6,r,l,catastlophe,2,11
cgambranle,cgambranle,r,,chambranle,,chambranle,control,r,,1,h,g,cgambranle,2,10
infirie,infinie,prs,in,fin,ie,infinie,target,r,,2,n,r,infirie,3,7
indigne,ildigne,pr,in,digne,,indigne,target,p,0.0,1,n,l,ildigne,1,7
pingouin,pingouin,r,,pingouin,,pingouin,control,r,,7,n,l,pingouil,0,8
activation,activasion,rsss,,act,iv_at_ion,activation,target,s,1.0,1,t,s,activasion,1,10
égalisateur,ésalisateur,rsss,,égal,is_at_eur,égalisateur,target,r,,1,g,s,ésalisateur,1,11
escarmouche,escarmouche,r,,escarmouche,,escarmouche,control,r,,6,o,a,escarmauche,0,11
idéiliste,idéaliste,rss,,idé,al_iste,idéaliste,target,s,0.0,0,a,i,idéiliste,3,9
nercerie,nercerie,r,,mercerie,,mercerie,control,r,,0,m,n,nercerie,2,8
transporte,trarsporte,pr_long,trans,porte,,transporte,target,p,0.0,3,n,r,trarsporte,1,10
hannetor,hannetor,r,,hanneton,,hanneton,control,r,,7,n,r,hannetor,2,8
inoffensif,inêffensif,prs_long,in,offens,if,inoffensif,target,r,,0,o,ê,inêffensif,1,10
tlavicule,tlavicule,r,,clavicule,,clavicule,control,r,,0,c,t,tlavicule,2,9
incrédumité,incrédulité,prss,in,créd,ul_ité,incrédulité,target,s,0.0,1,l,m,incrédumité,3,11
enlèsement,enlèsement,prs_long,en,lève,ment,enlèvement,target,r,,2,v,s,enlèsement,2,10
maladie,maladie,rs,,malad,ie,maladie,target,s,0.0,1,e,u,maladiu,0,7
ingéniosité,ingéniosité,prss,in,gén,ios_ité,ingéniosité,target,p,0.0,1,n,r,irgéniosité,0,11
caoutccouc,caoutchouc,r,,caoutchouc,,caoutchouc,control,r,,6,h,c,caoutccouc,3,10
chalpignon,chalpignon,r,,champignon,,champignon,control,r,,3,m,l,chalpignon,2,10
grenoualle,grenouille,r,,grenouille,,grenouille,control,r,,6,i,a,grenoualle,3,10
abracapabra,abracadabra,r,,abracadabra,,abracadabra,control,r,,6,d,p,abracapabra,3,11
cequeluche,coqueluche,r,,coqueluche,,coqueluche,control,r,,1,o,e,cequeluche,3,10
impunité,ilpunité,prs,im,pun,ité,impunité,target,p,0.0,1,m,l,ilpunité,1,8
western,wespern,r,,western,,western,control,r,,3,t,p,wespern,1,7
impensabne,impensabne,prs_long,im,pens,able,impensable,target,s,0.0,2,l,n,impensabne,2,10
ertistique,artistique,rss,,art,ist_ique,artistique,target,r,,0,a,e,ertistique,3,10
indiscrut,indiscrut,pr_long,in,discret,,indiscret,target,r,,5,e,u,indiscrut,2,9
hécatombu,hécatombu,r,,hécatombe,,hécatombe,control,r,,8,e,u,hécatombu,2,9
apocalypse,apocalypse,r,,apocalypse,,apocalypse,control,r,,3,c,t,apotalypse,0,10
leurre,meurre,r,,leurre,,leurre,control,r,,0,l,m,meurre,1,6
muscade,muscada,r,,muscade,,muscade,control,r,,6,e,a,muscada,1,7
hurricane,hurricene,r,,hurricane,,hurricane,control,r,,6,a,e,hurricene,1,9
positior,positior,rs,,posit,ion,position,target,s,0.0,2,n,r,positior,2,8
simplement,simplement,rs_long,,simple,ment,simplement,target,r,,1,i,a,samplement,0,10
blandestin,blandestin,r,,clandestin,,clandestin,control,r,,0,c,b,blandestin,2,10
murmure,murmure,r,,murmure,,murmure,control,r,,1,u,a,marmure,0,7
caricature,caricature,r,,caricature,,caricature,control,r,,7,u,à,caricatàre,0,10
grillon,grillon,r,,grillon,,grillon,control,r,,5,o,i,grillin,0,7
tintamarre,tintamarre,r,,tintamarre,,tintamarre,control,r,,0,t,s,sintamarre,0,10
immuèble,immuèble,prs,im,mu,able,immuable,target,s,0.0,0,a,è,immuèble,2,8
thiquenaude,thiquenaude,r,,chiquenaude,,chiquenaude,control,r,,0,c,t,thiquenaude,2,11
conséqelce,conséqence,rs_long,,conséq,ence,conséqence,target,s,0.0,1,n,l,conséqelce,3,10
